route,list,show,create,update,delete,backend_file
reservations,yes,yes,yes,yes,yes,reservation.routes.ts
reservations/:folioId/items,no,no,no,yes,yes,reservation.routes.ts
reservations/arrivals,yes,no,no,no,no,reservation.routes.ts
reservations/calendar,yes,no,no,no,no,reservation.routes.ts
reservations/departures,yes,no,no,no,no,reservation.routes.ts
reservations/in-house,yes,no,no,no,no,reservation.routes.ts
reservations/on-check,no,no,yes,no,no,reservation.routes.ts
reservations/pending,yes,no,no,no,no,reservation.routes.ts
reservations/update-bulk,no,no,yes,no,no,reservation.routes.ts
role,yes,yes,yes,yes,yes,admin.routes.ts
role/get-role,yes,no,no,no,no,admin.routes.ts
role/template,yes,no,no,no,no,admin.routes.ts
role/templates,yes,no,yes,yes,no,admin.routes.ts
roles,yes,yes,yes,yes,yes,admin.routes.ts
room,yes,yes,yes,yes,yes,room.routes.ts
room-availabilities,yes,no,no,no,no,statistic.routes.ts
room-availability,yes,no,no,no,no,statistic.routes.ts
room-changes,yes,no,yes,no,no,master-system.routes.ts
room-inventories,no,no,no,yes,yes,room.routes.ts
room-inventory,yes,no,no,no,no,content.routes.ts
room-reservation,yes,no,no,no,no,content.routes.ts
room-statistic,yes,no,yes,no,no,extra.routes.ts, room.routes.ts
room-statistics,yes,no,no,no,no,room.routes.ts
room-type,yes,yes,yes,yes,yes,room.routes.ts
room-type-images,yes,yes,yes,yes,yes,room.routes.ts
room-type/get-configuration,no,yes,no,no,no,room.routes.ts
room-type/get-room,no,yes,no,no,no,room.routes.ts
room-type/get-room-v2,no,yes,no,no,no,room.routes.ts
room-types,yes,yes,yes,yes,yes,room.routes.ts
room/statistics,yes,no,no,no,no,room.routes.ts
rooms,yes,yes,yes,yes,yes,room.routes.ts
rooms-statistic,yes,no,no,no,no,room.routes.ts
rooms/statistics,yes,no,no,no,no,room.routes.ts
save-fcm-token,no,no,yes,no,no,admin.routes.ts
setting,yes,no,yes,no,no,admin.routes.ts
settings,yes,no,yes,no,no,admin.routes.ts
setup,yes,yes,yes,yes,yes,master-system.routes.ts
setup/get-type,yes,no,no,no,no,master-system.routes.ts
shift-confirmation,yes,no,no,no,no,master-system.routes.ts
shift-confirmation/confirmation,no,no,yes,no,no,master-system.routes.ts
shift/detail,yes,no,no,no,no,master-system.routes.ts
staah-manager,yes,no,yes,yes,yes,extra.routes.ts
staah-ota-mapping,yes,no,yes,yes,yes,extra.routes.ts
staah-reservation,yes,yes,no,no,no,extra.routes.ts
staah/content-breakdown,yes,no,yes,yes,yes,staah.routes.ts
staah/content-breakdowns,yes,no,yes,yes,yes,staah.routes.ts
staah/interface,yes,yes,yes,yes,yes,staah.routes.ts
staah/interface/master,yes,no,no,no,no,staah.routes.ts
staah/interface/rates-calendar,yes,no,no,no,no,staah.routes.ts
staah/interface/test-connection,yes,no,no,no,no,staah.routes.ts
staah/interfaces,yes,yes,yes,yes,yes,staah.routes.ts
staah/interfaces/master,yes,no,no,no,no,staah.routes.ts
staah/interfaces/rates-calendar,yes,no,no,no,no,staah.routes.ts
staah/interfaces/test-connection,yes,no,no,no,no,staah.routes.ts
staah/ota-mapping,yes,no,yes,yes,yes,staah.routes.ts
staah/ota-mappings,yes,no,yes,yes,yes,staah.routes.ts
staah/ota-mappings/sync,no,no,yes,no,no,staah.routes.ts
staah/rate-mapping,yes,no,no,yes,no,staah.routes.ts
staah/rate-mappings,yes,no,no,yes,no,staah.routes.ts
staah/reservation,yes,no,no,no,no,staah.routes.ts
staah/reservations,yes,no,no,no,no,staah.routes.ts
staah/room-mapping,yes,no,no,yes,no,staah.routes.ts
staah/room-mappings,yes,no,no,yes,no,staah.routes.ts
staah/sync-log,yes,no,no,no,no,staah.routes.ts
staah/sync-logs,yes,no,no,no,no,staah.routes.ts
staah/sync-price,no,no,yes,no,no,staah.routes.ts
staah/webhook/confirm-booking,no,no,yes,no,no,staah.routes.ts
staah/webhook/health,yes,no,no,no,no,staah.routes.ts
staah/webhook/reservation-push,no,no,yes,no,no,staah.routes.ts
staff,yes,no,no,no,no,report.routes.ts
